Customer ID,Communication Date,Communication Method,Communication Content,Responsible Person,Follow-up Status
C093,2021/05/13,Email,Budget discussion,Michael Zhang,Pending
C049,2008/12/02,Meeting,Confirm construction plan,Emma Chen,Pending
C089,2006/04/10,Meeting,Confirm construction plan,Michael Zhang,In Progress
C066,2023/11/08,Meeting,Project delay explanation,Michael Zhang,Pending
C001,2014/05/09,Email,Project delay explanation,Alex Wang,In Progress
C026,2016/12/11,Email,Client feedback,David Liu,In Progress
C023,2021/09/20,Phone,Project delay explanation,David Liu,Pending
C109,2014/10/04,Email,Client feedback,Jane Li,Pending
C052,2006/08/23,Meeting,Budget discussion,Emma Chen,Pending
C014,2011/05/13,Phone,Client feedback,David Liu,Pending
C099,2015/01/01,Phone,Budget discussion,Emma Chen,Pending
C060,2013/12/06,Meeting,Confirm construction plan,Emma Chen,Resolved
C025,2006/05/12,Meeting,Project delay explanation,Jane Li,Resolved
C054,2011/11/18,Meeting,Budget discussion,Michael Zhang,Resolved
C063,2013/03/01,Email,Project delay explanation,David Liu,Resolved
C026,2007/08/21,Meeting,Client feedback,Alex Wang,Resolved
C099,2019/01/16,Meeting,Confirm construction plan,Emma Chen,Pending
C027,2016/05/14,Phone,Budget discussion,Alex Wang,In Progress
C108,2019/03/13,Phone,Client feedback,Jane Li,Pending
C065,2021/04/10,Meeting,Confirm construction plan,David Liu,Resolved
C052,2006/05/22,Phone,Project delay explanation,David Liu,Resolved
C004,2008/01/24,Phone,Project delay explanation,Alex Wang,Resolved
C068,2011/10/24,Email,Confirm construction plan,Jane Li,Pending
C067,2018/10/17,Email,Confirm construction plan,Alex Wang,Resolved
C008,2014/12/09,Phone,Budget discussion,Michael Zhang,In Progress
C038,2007/09/13,Phone,Budget discussion,David Liu,Resolved
C057,2022/03/23,Phone,Client feedback,Alex Wang,Resolved
C033,2008/04/14,Meeting,Client feedback,Jane Li,Pending
C073,2011/05/26,Email,Client feedback,Emma Chen,Resolved
C125,2006/03/12,Email,Confirm construction plan,Emma Chen,Resolved
C093,2016/08/13,Meeting,Client feedback,Jane Li,Pending
C102,2022/03/06,Phone,Client feedback,Emma Chen,In Progress
C019,2019/12/20,Meeting,Confirm construction plan,Alex Wang,Pending
C049,2024/05/17,Email,Client feedback,Jane Li,Pending
C006,2013/02/24,Meeting,Budget discussion,Emma Chen,Pending
C056,2022/02/06,Phone,Confirm construction plan,Emma Chen,Pending
C052,2019/04/10,Phone,Budget discussion,David Liu,Pending
C064,2014/10/08,Email,Client feedback,Michael Zhang,Pending
C085,2022/04/28,Email,Confirm construction plan,David Liu,Pending
C092,2018/04/11,Email,Project delay explanation,Michael Zhang,Resolved
C098,2023/04/25,Meeting,Budget discussion,David Liu,In Progress
C079,2016/09/05,Email,Project delay explanation,Jane Li,In Progress
C128,2007/03/07,Phone,Project delay explanation,Alex Wang,Pending
C029,2020/09/17,Meeting,Client feedback,David Liu,Resolved
C099,2010/11/11,Meeting,Confirm construction plan,Jane Li,Pending
C060,2016/10/26,Meeting,Client feedback,Emma Chen,Resolved
C039,2016/09/25,Email,Budget discussion,Alex Wang,Resolved
C128,2021/09/06,Meeting,Budget discussion,Emma Chen,In Progress
C071,2018/07/15,Phone,Budget discussion,Jane Li,Resolved
C012,2014/05/11,Phone,Confirm construction plan,Emma Chen,Resolved
C048,2013/04/16,Email,Client feedback,David Liu,Resolved
C045,2022/07/15,Meeting,Client feedback,David Liu,Resolved
C036,2009/09/11,Email,Client feedback,Michael Zhang,In Progress
C119,2016/07/21,Meeting,Confirm construction plan,Jane Li,Pending
C081,2011/10/22,Email,Budget discussion,David Liu,Pending
C010,2012/12/19,Email,Project delay explanation,Emma Chen,In Progress
C104,2014/03/09,Phone,Client feedback,Michael Zhang,In Progress
C073,2023/10/23,Phone,Project delay explanation,David Liu,Resolved
C035,2019/04/06,Phone,Project delay explanation,David Liu,Resolved
C038,2018/06/10,Meeting,Client feedback,Michael Zhang,Resolved
C120,2009/03/18,Email,Project delay explanation,Alex Wang,Resolved
C107,2006/05/01,Phone,Client feedback,Alex Wang,Pending
C057,2023/03/02,Phone,Client feedback,Alex Wang,Pending
C040,2008/09/12,Phone,Budget discussion,Michael Zhang,Resolved
C130,2021/02/18,Phone,Client feedback,David Liu,In Progress
C128,2011/11/19,Phone,Client feedback,Emma Chen,Pending
C102,2008/08/18,Meeting,Project delay explanation,Jane Li,Pending
C098,2010/09/24,Email,Budget discussion,Emma Chen,In Progress
C084,2019/01/14,Email,Budget discussion,Alex Wang,Pending
C104,2018/11/12,Phone,Confirm construction plan,Jane Li,Resolved
C077,2019/03/09,Phone,Confirm construction plan,Michael Zhang,Resolved
C071,2012/05/04,Phone,Project delay explanation,Michael Zhang,In Progress
C111,2015/08/12,Meeting,Budget discussion,Jane Li,Resolved
C047,2024/11/26,Meeting,Project delay explanation,Michael Zhang,Resolved
C075,2006/04/14,Email,Budget discussion,David Liu,Resolved
C118,2012/06/02,Meeting,Budget discussion,Michael Zhang,Pending
C006,2016/06/19,Meeting,Client feedback,Michael Zhang,Pending
C080,2024/07/17,Meeting,Confirm construction plan,Alex Wang,Pending
C017,2024/11/27,Meeting,Budget discussion,Emma Chen,In Progress
C079,2011/04/01,Phone,Budget discussion,David Liu,Pending
C045,2012/08/13,Meeting,Project delay explanation,Michael Zhang,Resolved
C097,2010/07/27,Phone,Budget discussion,Michael Zhang,Resolved
C066,2021/08/07,Phone,Project delay explanation,Emma Chen,In Progress
C088,2011/11/03,Meeting,Project delay explanation,Jane Li,Pending
C051,2017/02/06,Meeting,Client feedback,Michael Zhang,Pending
C093,2014/07/10,Phone,Confirm construction plan,Alex Wang,Pending
C087,2015/06/28,Phone,Confirm construction plan,Jane Li,Pending
C007,2007/06/15,Phone,Budget discussion,Emma Chen,In Progress
C049,2024/11/23,Phone,Confirm construction plan,Alex Wang,In Progress
C020,2024/07/23,Phone,Budget discussion,Michael Zhang,Resolved
C045,2024/10/09,Meeting,Client feedback,Emma Chen,Pending
C025,2020/08/08,Phone,Project delay explanation,Emma Chen,Pending
C088,2012/12/19,Email,Confirm construction plan,Michael Zhang,Resolved
