Contract ID,Project ID,Contract Name,Contract Date,Contract Amount,Contract Status,,,,,
H046,P046,United Branding Design Contract,2022/05/22,114875,Terminated,,,,,
H047,P047,Poly Billboard Installation Contract,2015/11/10,92051,Canceled,,,,,
H048,P048,Yinyi Exhibition Booth Setup Contract,2018/12/21,123881,Completed,,,,,
H049,P049,Intime Seasonal Promotion Planning Contract,2018/08/08,80531,Completed,,,,,
H050,P050,C&D Advertising Campaign Contract,2013/10/03,108076,In Progress,,,,,
H051,P051,Greentown Billboard Installation Contract,2019/01/28,99371,Terminated,,,,,
H052,P052,Ronshine Property Signage Design Contract,2007/12/16,99575,Completed,,,,,
H053,P053,Poly Neighborhood Event Organization Contract,2009/12/03,99089,Completed,,,,,
H054,P054,Jiangshan Outdoor Advertising Design Contract,2021/09/25,113825,Canceled,,,,,
H055,P055,China Resources Event Promotion Planning Contract,2012/05/14,83089,Terminated,,,,,
H056,P056,United Advertising Campaign Contract,2011/08/17,116319,Terminated,,,,,
H057,P057,Poly Branding Design Contract,2024/10/02,116523,Completed,,,,,
H058,P058,Yinyi Property Signage Design Contract,2014/10/25,57850,Completed,,,,,
H059,P059,Intime Event Promotion Planning Contract,2024/04/19,146054,Canceled,,,,,
H060,P060,C&D Billboard Installation Contract,2006/05/08,140405,Terminated,,,,,
H061,P061,Greentown Property Signage Design Contract,2016/01/19,82122,In Progress,,,,,
H062,P062,Ronshine Event Promotion Planning Contract,2019/04/06,67675,Canceled,,,,,
H063,P063,Poly Seasonal Promotion Planning Contract,2010/07/10,114738,Terminated,,,,,
H064,P064,Jiangshan Billboard Installation Contract,2018/02/16,112279,Canceled,,,,,
H065,P065,China Resources Advertising Campaign Contract,2024/03/16,61400,Canceled,,,,,
H066,P066,United Exhibition Booth Setup Contract,2019/10/10,117599,In Progress,,,,,
H067,P067,Poly Neighborhood Event Organization Contract,2018/11/24,135883,Canceled,,,,,
H068,P068,Yinyi Branding Design Contract,2018/10/21,62124,In Progress,,,,,
H069,P069,Intime Outdoor Advertising Design Contract,2017/01/25,147700,Terminated,,,,,
H070,P070,C&D Seasonal Promotion Planning Contract,2018/04/20,95488,Terminated,,,,,
H071,P071,Greentown Advertising Board Maintenance Contract,2014/05/03,109888,Canceled,,,,,
H072,P072,Ronshine Branding Design Contract,2013/01/03,64375,Canceled,,,,,
H073,P073,Poly Billboard Installation Contract,2015/01/13,118551,Terminated,,,,,
H074,P074,Jiangshan Seasonal Promotion Planning Contract,2021/09/21,69072,In Progress,,,,,
H075,P075,China Resources Property Signage Design Contract,2015/10/22,76317,Terminated,,,,,
H076,P076,United Neighborhood Event Organization Contract,2015/01/28,104951,Terminated,,,,,
H077,P077,Poly Event Promotion Planning Contract,2015/02/16,99072,Terminated,,,,,
H078,P078,Yinyi Billboard Installation Contract,2024/01/23,62557,Terminated,,,,,
H079,P079,Intime Branding Design Contract,2013/01/23,78327,Canceled,,,,,
H080,P080,C&D Advertising Campaign Contract,2020/10/07,89155,Completed,,,,,
H081,P081,Greentown Billboard Installation Contract,2024/06/07,101856,Terminated,,,,,
H082,P082,Ronshine Outdoor Advertising Design Contract,2017/10/09,147587,Canceled,,,,,
H083,P083,Poly Advertising Board Maintenance Contract,2018/04/11,144878,In Progress,,,,,
H084,P084,Jiangshan Neighborhood Event Organization Contract,2011/11/13,104173,In Progress,,,,,
H085,P085,China Resources Event Promotion Planning Contract,2015/01/07,51885,In Progress,,,,,
H086,P086,United Seasonal Promotion Planning Contract,2013/07/13,72464,In Progress,,,,,
H087,P087,Poly Property Signage Design Contract,2017/12/13,125353,Completed,,,,,
H088,P088,Yinyi Exhibition Booth Setup Contract,2018/09/01,111538,Completed,,,,,
H089,P089,Intime Seasonal Promotion Planning Contract,2022/04/09,109077,Canceled,,,,,
H090,P090,C&D Neighborhood Event Organization Contract,2007/10/08,59235,Canceled,,,,,
H091,P091,Greentown Outdoor Advertising Design Contract,2010/07/27,60186,Completed,,,,,
H092,P092,Ronshine Seasonal Promotion Planning Contract,2022/08/22,74105,In Progress,,,,,
H093,P093,Poly Neighborhood Event Organization Contract,2018/05/05,86257,Completed,,,,,
H094,P094,Jiangshan Property Signage Design Contract,2019/03/14,97703,In Progress,,,,,
H095,P095,China Resources Branding Design Contract,2008/03/18,101516,Completed,,,,,
H096,P096,United Billboard Installation Contract,2010/10/09,96441,Completed,,,,,
H097,P097,Poly Seasonal Promotion Planning Contract,2015/03/01,50564,In Progress,,,,,
H098,P098,Yinyi Outdoor Advertising Design Contract,2024/12/28,50380,Canceled,,,,,
H099,P099,Intime Branding Design Contract,2006/03/06,141479,In Progress,,,,,
H100,P100,C&D Advertising Campaign Contract,2012/10/17,142942,In Progress,,,,,
H101,P101,Greentown Seasonal Promotion Planning Contract,2007/01/20,82952,In Progress,,,,,
H102,P102,Ronshine Billboard Installation Contract,2006/06/07,80096,Completed,,,,,
H103,P103,Poly Advertising Board Maintenance Contract,2019/12/22,140750,Canceled,,,,,
H104,P104,Jiangshan Event Promotion Planning Contract,2008/07/07,87886,Terminated,,,,,
H105,P105,China Resources Seasonal Promotion Planning Contract,2010/02/16,88861,Completed,,,,,
H106,P106,United Neighborhood Event Organization Contract,2016/09/13,123959,Terminated,,,,,
H107,P107,Poly Branding Design Contract,2008/09/26,141415,In Progress,,,,,
H108,P108,Yinyi Billboard Installation Contract,2007/01/13,116751,Terminated,,,,,
H109,P109,Intime Event Promotion Planning Contract,2016/05/07,139589,Completed,,,,,
H110,P110,C&D Billboard Installation Contract,2021/04/24,95384,Canceled,,,,,
H111,P111,Greentown Branding Design Contract,2006/04/12,136301,Terminated,,,,,
H112,P112,Ronshine Property Signage Design Contract,2019/12/19,135346,Canceled,,,,,
H113,P113,Poly Exhibition Booth Setup Contract,2012/04/18,65901,Canceled,,,,,
H114,P114,Jiangshan Branding Design Contract,2008/10/01,117797,In Progress,,,,,
H115,P115,China Resources Outdoor Advertising Design Contract,2014/01/24,114258,Completed,,,,,
H116,P116,United Seasonal Promotion Planning Contract,2013/04/04,97318,Canceled,,,,,
H117,P117,Poly Event Promotion Planning Contract,2011/08/24,100326,Completed,,,,,
H118,P118,Yinyi Seasonal Promotion Planning Contract,2017/01/12,147069,Canceled,,,,,
H119,P119,Intime Advertising Campaign Contract,2010/04/16,125154,In Progress,,,,,
H120,P120,C&D Outdoor Advertising Design Contract,2010/12/07,143932,Canceled,,,,,
H121,P121,Greentown Event Promotion Planning Contract,2023/04/09,140699,Canceled,,,,,
H122,P122,Ronshine Outdoor Advertising Design Contract,2008/07/16,138799,Terminated,,,,,
H123,P123,Poly Branding Design Contract,2020/05/17,136169,Terminated,,,,,
H124,P124,Jiangshan Billboard Installation Contract,2020/12/11,81293,Canceled,,,,,
H125,P125,China Resources Advertising Campaign Contract,2007/10/17,82118,Canceled,,,,,
H126,P126,United Neighborhood Event Organization Contract,2020/03/21,52564,Completed,,,,,
H127,P127,Poly Property Signage Design Contract,2019/12/22,94094,In Progress,,,,,
H128,P128,Yinyi Exhibition Booth Setup Contract,2015/01/15,141654,Terminated,,,,,
H129,P129,Intime Seasonal Promotion Planning Contract,2006/10/28,133706,Canceled,,,,,
H130,P130,C&D Advertising Campaign Contract,2020/04/24,87393,Terminated,,,,,
